PO_NUMBER,INVOICE_ID,INVOICE_NUM,SOURCE,INV_LINE_NUMBER,ACCOUNT_CODE,COMPANY_CODE,MIC,INVOICE_DATE,INVOICE_AMOUNT,TRAN_AMOUNT,EXTC,STATE,VENDOR_NAME,INVOICE_FR,FINAL_DESCRIPTION,PROJ_NUM,TAX_AMOUNT,TAX_TYPE,ACCOUNTING_DATE,NORAD_FLAG,DRIVERID,invoice_month,invoice_year
null,349465004,G000212,ENGBL,9,2003.845C,5G00,NONE,2023-01-11,1100.0000000000,110,450,GA,SOURCEONE CORP>9I,3494650049,Tele PUC-Buried Cable-Nonmetallic | Contract Plant Labor (Excl Installation),A027579,null,,2023-01-31,N,null,2023-01,2023
null,349465199,310799579        265155,ENGIEW,1,6531.60M,AQ00,,2023-01-06,15.5400000000,16,5B1,IL,ENGIE INSIGHT SERVICES INC>,3494651991,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349465426,310799601        289626,ENGIEW,1,6531.60M,AQ00,,2023-01-06,33.2800000000,33,5B1,IL,ENGIE INSIGHT SERVICES INC>,3494654261,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349465600,4183B,ENGBL,1,1439.11,5F00,NONE,2023-01-13,2370.8700000000,282,460,FL,ESS ENGINEERING INC,3494656001,Deferred Charges-Engineering Projects | Contract Engineering & Drafting (Excl Installation),A029VTJ,null,,2023-01-31,N,null,2023-01,2023
null,349465639,310799620        289737,ENGIEW,1,6531.60M,AQ00,,2023-01-06,26.7400000000,27,5B1,IL,ENGIE INSIGHT SERVICES INC>,3494656391,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349465730,311283082        6958474529,ENGIEM,1,6121.29,3452,,2023-01-09,42.1400000000,42,531,OH,ENGIE INSIGHT SERVICES INC>,3494657301,Land & Bldgs Exp - Utilities - Other Expenses | Utilities,,null,,2023-01-31,N,null,2023-01,2023
null,349466299,F000212,ENGBL,10,2003.845C,5F00,NONE,2023-01-11,1109.6000000000,111,450,FL,SOURCEONE CORP>9I,34946629910,Tele PUC-Buried Cable-Nonmetallic | Contract Plant Labor (Excl Installation),A0252B5,null,,2023-01-31,N,null,2023-01,2023
null,349466458,ERP0000079896870,71ERPAP,1,4130.55,SS00,,2023-01-16,65.0000000000,65,CYD,GA,FOR CUSTOMER,3494664581,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349466619,310802275        003799303613,ENGIEW,1,6531.60M,PC00,,2023-01-09,426.9300000000,427,5B1,CA,ENGIE INSIGHT SERVICES INC>,3494666191,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349466843,ERP0000079893955,71ERPAP,1,4130.55,SS00,,2023-01-16,52.0700000000,52,CYD,GA,FOR CUSTOMER,3494668431,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
